Timestamp,Length in cm:,Arm span in cm:,Gender:
9/5/2019 12:39:41,168,152,Male
9/5/2019 12:39:57,174,170,Male
9/5/2019 12:39:57,178,178,Male
9/5/2019 12:39:58,179,178,Male
9/5/2019 12:40:03,167,161,Female
9/5/2019 12:40:06,179,178,Male
9/5/2019 12:40:10,170,172,Female
9/5/2019 12:40:12,186,184,Male
9/5/2019 12:40:28,189.6,186.7,Male
9/5/2019 12:40:29,181,184,Male
9/5/2019 12:40:43,172,172.5,Female
9/5/2019 12:40:44,180,177,Male
9/5/2019 12:40:49,188,182,Male
9/5/2019 12:40:52,188.5,188.5,Male
9/5/2019 12:40:54,185,185,Male
9/5/2019 12:41:03,174,179,Male
9/5/2019 12:41:07,188,184,Male
9/5/2019 12:41:22,184,182,Male
9/5/2019 12:41:59,177,171,Male
9/5/2019 17:44:42,184,182,Male
1/24/2020 13:39:48,182,183,Male
1/24/2020 13:40:02,191,196,Male
1/24/2020 13:41:08,172,171,Male
1/24/2020 13:41:24,161,167,Female
1/24/2020 13:41:43,188,198,Male
1/24/2020 13:41:47,196,198,Male
1/24/2020 13:42:46,182,180,Female
1/24/2020 13:43:06,166.5,165.2,Female
1/24/2020 13:43:10,165,169,Female
1/24/2020 13:43:26,165,174,Male
